,node,betweenness_unweighted,betweenness_weighted,in_degree,out_degree
327,1627ae1a4c920ec0,0.0,0.0,0,1
328,1631ef8ed34483f6,0.0,0.0,0,1
329,16459add1644100b,0.0,0.0,0,1
330,1645c158b6d25105,0.0,0.0,0,1
331,1659cc80a3137f18,0.0,0.0,0,1
332,165e6bc1c4a6f9a9,0.0,0.0,0,1
333,169e8caa41c4a028,0.0,0.0,0,1
334,16b6be3037c543c3,0.0,0.0,0,1
335,16bb6493dedab5bc,0.0,0.0,0,1
336,16d76f50e589ac02,0.0,0.0,0,1
337,16dc5fc31f2c63ba,0.0,0.0,0,1
338,16dce17b518f8596,0.0,0.0,0,1
339,1730f5fb972a437c,0.0,0.0,0,1
340,175a2757d0049647,0.0,0.0,0,1
341,175fd33a18946d94,0.0,0.0,0,1
342,176f5081f1a7354c,0.0,0.0,0,1
343,1778085e5b2bcde9,0.0,0.0,0,1
344,177f5281c52ccee8,0.0,0.0,0,1
345,17cd18ce4a60728b,0.0,0.0,0,1
346,17d26d6831b3176c,0.0,0.0,0,1
347,17e3f2fb46b4ba5d,0.0,0.0,0,1
348,17ed3c109376d3a2,0.0,0.0,0,1
349,17f831043bb46a6b,0.0,0.0,0,1
350,1864b278039e71d7,0.0,0.0,0,1
351,18822336b775dadc,0.0,0.0,0,1
352,189be6180340902e,0.0,0.0,0,1
353,18adf513c7e3f7c8,0.0,0.0,0,1
354,18d08061c5201c65,0.0,0.0,0,1
355,18d2371cd5a1ed3f,0.0,0.0,0,1
356,18d868404513e208,0.0,0.0,0,1
357,18db5728f81046e8,0.0,0.0,0,1
358,190bdc2b72f7fe72,0.0,0.0,0,1
359,19109dc6ccc445c8,0.0,0.0,0,1
360,1915909ea310202b,0.0,0.0,0,1
361,1915af2123c97904,0.0,0.0,0,1
362,191d22339fed988d,0.0,0.0,0,1
363,194feafb859894ed,0.0,0.0,0,1
364,19501283e910e944,0.0,0.0,0,1
365,19511616625609a4,0.0,0.0,0,1
366,195be617518dc59d,0.0,0.0,0,1
367,195f0213ba2eab33,0.0,0.0,0,1
368,1964f8c753e9a788,0.0,0.0,0,1
369,1985701ffe47fae9,0.0,0.0,0,1
370,199002a844c3bc5f,0.0,0.0,0,1
371,19a0465a7a90f939,0.0,0.0,0,1
372,19abde86f049252f,0.0,0.0,0,1
373,19b01fa24c3032ce,0.0,0.0,0,1
374,19d442a2633f616f,0.0,0.0,0,1
375,19d511a0f1f7cd47,0.0,0.0,0,1
376,19ecdc0abcba8138,0.0,0.0,0,1
377,1a2a58e68a336396,0.0,0.0,0,1
378,1a5cd000e9091cad,0.0,0.0,0,1
379,1a6e92d92b296733,0.0,0.0,0,1
380,1a8d3d8a2c9ea4e6,0.0,0.0,0,1
381,1a90050505628ca2,0.0,0.0,0,1
382,1ab2caca33b46825,0.0,0.0,0,1
383,1ace811e3ad9f579,0.0,0.0,0,1
384,1ad0c1c8bc8f57b1,0.0,0.0,0,1
385,1b0a117532ebcd4b,0.0,0.0,0,1
386,1b0f21f9cae34456,0.0,0.0,0,1
387,1b14dea69bbff2a9,0.0,0.0,0,1
388,1b49b3176e4601cd,0.0,0.0,0,1
389,1b5852493f40f7f1,0.0,0.0,0,1
390,1b6c75f538cdd86a,0.0,0.0,0,1
391,1b720748fb960a49,0.0,0.0,0,1
392,1b7b939c10135617,0.0,0.0,0,1
393,1b7fa2319da2b4a6,0.0,0.0,0,1
394,1b8435a6fabc2aed,0.0,0.0,0,1
395,1b9d71addfd80f78,0.0,0.0,0,1
396,1ba8f54dd588a5cc,0.0,0.0,0,1
397,1bae8477714b1ab2,0.0,0.0,0,1
